Line	Event	Signal	Text
221603	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
222481	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
222574	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
222717	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
223544	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
224345	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
225472	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
225565	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
225708	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
227663	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
228439	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
229358	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
231266	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
232067	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
233477	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
233570	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
233713	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
235488	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
235533	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
235616	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
236465	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
236510	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
236593	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
237512	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
237609	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
237692	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
238442	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
238535	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
238678	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
239741	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
239786	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
239869	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
240532	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
240577	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
240660	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
241355	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
241400	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
241483	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
242713	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
242783	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
242866	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
243753	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
243846	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
243989	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
245103	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
245148	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
245231	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
246050	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
246095	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
246178	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
247792	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
247862	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
247945	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
248720	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
248765	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
248848	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
249661	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
250472	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
250555	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
251355	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
251448	C1-O2 OUTER BINDING	OUTSTANDING_TRUE	Outstanding: 1
251591	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
254350	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
254420	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
254503	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
255319	MARKER OWNERSHIP DECISION	EXTRA_07	ContainsReservedSourceMarker: 1
255389	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
255472	OUTER_FRAME OFFENSE	EXTRA_08	MarkerAction: ACCEPTED
