StartLine	EndLine	Event	SelectedFields
67368	67384	C1 CLEANUP FULFILLED	ElapsedMs=205113.325 | Actor=PC_Hero | Generation=75 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E7AA10 | ActualGroup=5 | PhysicalCollisionChanged=0
67385	67411	ENGINE SetCollisionGroup	ElapsedMs=205113.340 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=1 | PlayerAniPhase=3 | PlayerStateTime=0.540002 | PlayerCurrentMovementAni=Hero_Stand_1H_1H_P0_Attack_Hit_N_Fwd_00_%_00_P1_118_R.xmot
67412	67432	NATIVE CLEANUP CALL SITE	ElapsedMs=205113.357 | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E7AA10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
67433	67462	OUTER_FRAME CLEANUP	ElapsedMs=205113.379 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E7AA10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=1 | CurrentStateTime=0.540002
67463	67503	AISETSTATE CALLSITE	ElapsedMs=205113.407 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentStateTime=0.540002 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Attack_Hit_N_Fwd_00_%_00_P1_118_R.xmot
67504	67528	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=205113.445 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.540002
67529	67571	C1 FINALIZATION	ElapsedMs=205113.467 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=75 | Status=PERSISTED | PhysicalCollisionChanged=0
67572	67596	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=205113.499 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
67597	67623	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=206265.071 | Actor=PC_Hero
67624	67648	PRIMARYFIRST PlayMotion	ElapsedMs=206265.068
67649	67688	AISETSTATE CALLSITE	ElapsedMs=206389.328 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.255846 | CurrentMovementAni=Hero_Stand_1H_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
67689	67713	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=206389.402 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.255846
67714	67738	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=206389.428 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
67739	67778	AISETSTATE CALLSITE	ElapsedMs=206399.754 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
67779	67803	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=206399.820 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
67804	67828	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=206399.845 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
67829	67855	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=206408.505 | Actor=PC_Hero
67856	67880	PRIMARYFIRST PlayMotion	ElapsedMs=206408.503
67881	67907	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=208215.529 | Actor=PC_Hero
67908	67932	PRIMARYFIRST PlayMotion	ElapsedMs=208215.527
67933	67972	AISETSTATE CALLSITE	ElapsedMs=208476.102 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=2.064821 | CurrentMovementAni=Hero_Parade_1H_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
67973	67997	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=208476.173 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=2.064821
67998	68022	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=208476.195 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
68023	68044	C1 LIFECYCLE START	ElapsedMs=208485.338 | Actor=PC_Hero | Generation=76 | Status=CANDIDATE | PhysicalCollisionChanged=0
68045	68058	C1-O2 OUTER BINDING	ElapsedMs=208485.376 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=76 | Status=CANDIDATE | PhysicalCollisionChanged=0
68059	68083	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=208485.392 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.000000
68084	68108	PRIMARYFIRST StopMotion	ElapsedMs=208493.973
68109	68141	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=208494.013 | Actor=PC_Hero
68142	68166	PRIMARYFIRST PlayMotion	ElapsedMs=208494.012
68167	68177	C1 LIFECYCLE STATUS	ElapsedMs=208494.117 | Event=PERSISTED | Actor=PC_Hero | Generation=76 | Status=PERSISTED | PhysicalCollisionChanged=0
68178	68206	MARKER OWNERSHIP DECISION	ElapsedMs=208494.134 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P1_100_L.xmot
68207	68225	G3AB_COL_RIGHT RECEIVED	ElapsedMs=208681.809 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P1_100_L.xmot
68226	68242	C1 OFFENSE REQUEST	ElapsedMs=208681.843 | Actor=PC_Hero | Generation=76 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | ActualGroup=7 | PhysicalCollisionChanged=0
68243	68269	ENGINE SetCollisionGroup	ElapsedMs=208681.877 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=5 | PlayerAniPhase=1 | PlayerStateTime=0.205927 | PlayerCurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P1_100_L.xmot
68270	68289	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=208681.901 | SourceAddress=E6E71210
68290	68352	OUTER_FRAME OFFENSE	ElapsedMs=208681.916 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E71210 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | MarkerAction=ACCEPTED | SetCollisionGroupAction=REQUESTED_ITEM_ATTACK | CurrentAction=5 | CurrentStateTime=0.205927
68353	68396	AIFULLSTOP CALLSITE	ElapsedMs=208822.585 | Actor=PC_Hero | CurrentAction=5 | CurrentAniPhase=1 | CurrentStateTime=0.337925 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P1_100_L.xmot
