StartLine	EndLine	Event	SelectedFields
112449	112473	PRIMARYFIRST StopMotion	ElapsedMs=341430.857
112474	112500	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=341430.911 | Actor=PC_Hero
112501	112525	PRIMARYFIRST PlayMotion	ElapsedMs=341430.910
112526	112550	PRIMARYFIRST StopMotion	ElapsedMs=342413.529
112551	112577	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=342413.592 | Actor=PC_Hero
112578	112602	PRIMARYFIRST PlayMotion	ElapsedMs=342413.591
112603	112627	PRIMARYFIRST StopMotion	ElapsedMs=342574.733
112628	112654	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=342574.787 | Actor=PC_Hero
112655	112679	PRIMARYFIRST PlayMotion	ElapsedMs=342574.785
112680	112704	PRIMARYFIRST StopMotion	ElapsedMs=342598.864
112705	112731	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=342598.921 | Actor=PC_Hero
112732	112756	PRIMARYFIRST PlayMotion	ElapsedMs=342598.920
112757	112781	PRIMARYFIRST StopMotion	ElapsedMs=343562.146
112782	112808	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=343562.200 | Actor=PC_Hero
112809	112833	PRIMARYFIRST PlayMotion	ElapsedMs=343562.199
112834	112873	AISETSTATE CALLSITE	ElapsedMs=343562.342 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=8 | CurrentStateTime=8.106759 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Move_Walk_N_Fwd_00_%_00_P0_160.xmot
112874	112898	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=343562.382 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=8.106759
112899	112923	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=343562.402 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
112924	112945	C1 LIFECYCLE START	ElapsedMs=343574.379 | Actor=PC_Hero | Generation=111 | Status=CANDIDATE | PhysicalCollisionChanged=0
112946	112959	C1-O2 OUTER BINDING	ElapsedMs=343574.420 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=111 | Status=CANDIDATE | PhysicalCollisionChanged=0
112960	112984	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=343574.432 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
