StartLine	EndLine	Event	SelectedFields
61	103	AIFULLSTOP CALLSITE	ElapsedMs=30398.009 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=
104	130	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=30424.580 | Actor=PC_Hero
131	155	PRIMARYFIRST PlayMotion	ElapsedMs=30424.577
156	195	AISETSTATE CALLSITE	ElapsedMs=30425.500 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_None_P0_Ambient_Loop_N_Fwd_00_%_02_P0_0.xmot
196	220	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=30425.580 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
221	245	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=30425.603 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
246	270	PRIMARYFIRST StopMotion	ElapsedMs=33767.925
271	295	PRIMARYFIRST StopMotion	ElapsedMs=33768.018
296	322	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=33768.043 | Actor=PC_Hero
323	347	PRIMARYFIRST PlayMotion	ElapsedMs=33768.042
348	374	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=33950.770 | Actor=PC_Hero
375	399	PRIMARYFIRST PlayMotion	ElapsedMs=33950.768
400	424	PRIMARYFIRST StopMotion	ElapsedMs=34189.471
425	449	PRIMARYFIRST StopMotion	ElapsedMs=34189.518
450	476	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=34189.598 | Actor=PC_Hero
477	501	PRIMARYFIRST PlayMotion	ElapsedMs=34189.596
502	528	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=34413.580 | Actor=PC_Hero
529	553	PRIMARYFIRST PlayMotion	ElapsedMs=34413.578
554	578	PRIMARYFIRST StopMotion	ElapsedMs=34616.511
579	603	PRIMARYFIRST StopMotion	ElapsedMs=34616.562
604	630	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=34616.589 | Actor=PC_Hero
