StartLine	EndLine	Event	SelectedFields
22651	22673	COMBATMOVE STARTRECOVER END	ElapsedMs=81682.573 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P1_StumbleR_Hit_N_Back_00_%_00_P10_90.xmot
22674	22713	AISETSTATE CALLSITE	ElapsedMs=81682.629 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P1_StumbleR_Hit_N_Back_00_%_00_P10_90.xmot
22714	22738	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=81682.669 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
22739	22761	C1 FINALIZATION	ElapsedMs=81682.692 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=63 | Status=PERSISTED | PhysicalCollisionChanged=0
22762	22786	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=81682.714 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
22787	22813	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=82162.562 | Actor=PC_Hero
22814	22838	PRIMARYFIRST PlayMotion	ElapsedMs=82162.560
22839	22863	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=82753.050 | Actor=Golem | CurrentAction=1 | CurrentStateTime=0.000000
22864	22908	AIFULLSTOP CALLSITE	ElapsedMs=83002.158 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.319916 | CurrentMovementAni=Hero_Stand_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
22909	22925	C1 LIFECYCLE START	ElapsedMs=83014.304 | Actor=PC_Hero | Generation=65 | Status=CANDIDATE | PhysicalCollisionChanged=0
22926	22939	C1-O2 OUTER BINDING	ElapsedMs=83014.334 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=65 | Status=CANDIDATE | PhysicalCollisionChanged=0
22940	22964	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=83014.346 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
22965	22989	PRIMARYFIRST StopMotion	ElapsedMs=83014.411
22990	23022	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=83014.465 | Actor=PC_Hero
23023	23047	PRIMARYFIRST PlayMotion	ElapsedMs=83014.464
23048	23058	C1 LIFECYCLE STATUS	ElapsedMs=83014.564 | Event=PERSISTED | Actor=PC_Hero | Generation=65 | Status=PERSISTED | PhysicalCollisionChanged=0
23059	23085	ENGINE SetCollisionGroup	ElapsedMs=83014.656 | RequestedGroup=7 | BeforeGroup=0 | AfterGroup=0 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.011000 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
23086	23108	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=83321.383 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
23109	23133	PRIMARYFIRST StopMotion	ElapsedMs=83321.452
23134	23160	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=83321.485 | Actor=PC_Hero
23161	23185	PRIMARYFIRST PlayMotion	ElapsedMs=83321.483
23186	23208	COMBATMOVE STARTRECOVER END	ElapsedMs=83321.563 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
23209	23248	AISETSTATE CALLSITE	ElapsedMs=83321.620 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
23249	23273	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=83321.660 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
23274	23296	C1 FINALIZATION	ElapsedMs=83321.683 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=65 | Status=PERSISTED | PhysicalCollisionChanged=0
23297	23321	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=83321.705 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
23322	23348	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=83802.962 | Actor=PC_Hero
23349	23373	PRIMARYFIRST PlayMotion	ElapsedMs=83802.959
23374	23413	AISETSTATE CALLSITE	ElapsedMs=84374.109 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.041935 | CurrentMovementAni=Hero_Stand_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
23414	23438	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=84374.242 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.041935
23439	23463	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=84374.268 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
23464	23480	C1 LIFECYCLE START	ElapsedMs=84385.274 | Actor=PC_Hero | Generation=66 | Status=CANDIDATE | PhysicalCollisionChanged=0
23481	23494	C1-O2 OUTER BINDING	ElapsedMs=84385.309 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=66 | Status=CANDIDATE | PhysicalCollisionChanged=0
23495	23519	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=84385.321 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
23520	23544	PRIMARYFIRST StopMotion	ElapsedMs=84385.357
23545	23577	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=84385.388 | Actor=PC_Hero
23578	23602	PRIMARYFIRST PlayMotion	ElapsedMs=84385.386
23603	23613	C1 LIFECYCLE STATUS	ElapsedMs=84385.489 | Event=PERSISTED | Actor=PC_Hero | Generation=66 | Status=PERSISTED | PhysicalCollisionChanged=0
23614	23638	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=84397.330 | Actor=Golem | CurrentAction=51 | CurrentStateTime=0.000000
23639	23655	C1 OFFENSE REQUEST	ElapsedMs=84635.406 | Actor=PC_Hero | Generation=66 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E700FE10 | ActualGroup=7 | PhysicalCollisionChanged=0
