Line	Event	Signal	Text
8607	PRIMARYFIRST PlayMotion	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
8621	COMBATMOVE STARTRECOVER END	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8625	COMBATMOVE STARTRECOVER END	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
8666	ENGINE SetCollisionGroup	EXTRA_01	PlayerCurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8718	OUTER_FRAME CLEANUP	EXTRA_01	TopScriptName: _AI_GetUpAttack
8722	OUTER_FRAME CLEANUP	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
8724	OUTER_FRAME CLEANUP	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
8749	AISETSTATE CALLSITE	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
8753	AISETSTATE CALLSITE	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
9175	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
9208	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
9228	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
10700	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
10733	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
10753	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
11366	AISETSTATE CALLSITE	EXTRA_01	RequestedState: ZS_SitKnockDown_GetUpAttack
11436	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	TopScriptName: ZS_SitKnockDown_GetUpAttack
11442	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
11452	C1 INVARIANT WARNING	C1_INVARIANT_WARNING	===== C1 INVARIANT WARNING =====
11452	C1 INVARIANT WARNING	WARNING	===== C1 INVARIANT WARNING =====
11491	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
11504	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	ScriptFunctionName: _AI_GetUpAttack
11511	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
11525	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
11529	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
11531	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
11567	C1-O2 OUTER BINDING	EXTRA_01	ScriptFunction: _AI_GetUpAttack
11581	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopScriptName: _AI_GetUpAttack
11585	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
11587	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
11627	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	SuccessorPrimaryMotionNameAfterOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11634	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	CurrentMovementAniBeforeOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11671	PRIMARYFIRST PlayMotion	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11691	C1-O2-P1 DISPATCH RETURN	EXTRA_01	===== C1-O2-P1 DISPATCH RETURN =====
11719	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
11735	ENGINE SetCollisionGroup	EXTRA_01	PlayerCurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11752	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
11772	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
11786	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
11790	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
11792	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
11832	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11836	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11853	HIT STARTRECOVER BEGIN STACK	EXTRA_01	OutgoingPrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11857	HIT STARTRECOVER BEGIN STACK	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11904	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	SuccessorPrimaryMotionNameAfterOriginal: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
11911	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	CurrentMovementAniBeforeOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11942	PRIMARYFIRST PlayMotion	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
11956	COMBATMOVE STARTRECOVER END	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
11960	COMBATMOVE STARTRECOVER END	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
12001	ENGINE SetCollisionGroup	EXTRA_01	PlayerCurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
12053	OUTER_FRAME CLEANUP	EXTRA_01	TopScriptName: _AI_GetUpAttack
12057	OUTER_FRAME CLEANUP	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
12059	OUTER_FRAME CLEANUP	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
12084	AISETSTATE CALLSITE	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
12088	AISETSTATE CALLSITE	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
13198	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
13231	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
13251	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
14360	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
14393	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
14413	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
16047	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
16080	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
16100	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
17184	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
17217	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
17237	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
18294	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
18327	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
18347	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
19058	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
19091	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
19111	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
20718	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
20751	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
20771	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
21461	AISETSTATE CALLSITE	EXTRA_01	RequestedState: ZS_SitKnockDown_GetUpAttack
21531	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	TopScriptName: ZS_SitKnockDown_GetUpAttack
21537	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
21547	C1 INVARIANT WARNING	C1_INVARIANT_WARNING	===== C1 INVARIANT WARNING =====
21547	C1 INVARIANT WARNING	WARNING	===== C1 INVARIANT WARNING =====
21586	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
21599	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	ScriptFunctionName: _AI_GetUpAttack
21606	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
21620	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
21624	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
21626	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
21662	C1-O2 OUTER BINDING	EXTRA_01	ScriptFunction: _AI_GetUpAttack
21676	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopScriptName: _AI_GetUpAttack
21680	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
21682	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
21722	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	SuccessorPrimaryMotionNameAfterOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21729	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	CurrentMovementAniBeforeOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21766	PRIMARYFIRST PlayMotion	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21786	C1-O2-P1 DISPATCH RETURN	EXTRA_01	===== C1-O2-P1 DISPATCH RETURN =====
21814	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
21830	ENGINE SetCollisionGroup	EXTRA_01	PlayerCurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21847	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
21867	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
21881	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
21885	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
21887	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
21902	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21906	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21923	HIT STARTRECOVER BEGIN STACK	EXTRA_01	OutgoingPrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21927	HIT STARTRECOVER BEGIN STACK	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
21974	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	SuccessorPrimaryMotionNameAfterOriginal: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
21981	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	CurrentMovementAniBeforeOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
22012	PRIMARYFIRST PlayMotion	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
22026	COMBATMOVE STARTRECOVER END	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
22030	COMBATMOVE STARTRECOVER END	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
22071	ENGINE SetCollisionGroup	EXTRA_01	PlayerCurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
22123	OUTER_FRAME CLEANUP	EXTRA_01	TopScriptName: _AI_GetUpAttack
22127	OUTER_FRAME CLEANUP	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
22129	OUTER_FRAME CLEANUP	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
22154	AISETSTATE CALLSITE	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
22158	AISETSTATE CALLSITE	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P1_GetUpAttack_Recover_N_Fwd_00_%_00_P1_0_R.xmot
23650	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
23683	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
23703	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
24466	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
24499	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
24519	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
26126	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
26159	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
26179	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
26865	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
26898	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
26918	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
27633	AISETSTATE CALLSITE	EXTRA_01	RequestedState: ZS_SitKnockDown_GetUpAttack
27703	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	TopScriptName: ZS_SitKnockDown_GetUpAttack
27709	OUTER_FRAME AI_SET_STATE_AFTER	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
27719	C1 INVARIANT WARNING	C1_INVARIANT_WARNING	===== C1 INVARIANT WARNING =====
27719	C1 INVARIANT WARNING	WARNING	===== C1 INVARIANT WARNING =====
27758	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
27771	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	ScriptFunctionName: _AI_GetUpAttack
27778	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
27792	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
27796	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
27798	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
27834	C1-O2 OUTER BINDING	EXTRA_01	ScriptFunction: _AI_GetUpAttack
27848	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopScriptName: _AI_GetUpAttack
27852	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
27854	OUTER_FRAME COMBAT_MOVE_INITIAL	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
27894	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	SuccessorPrimaryMotionNameAfterOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
27901	EMPTY-PRIMARY SUCCESSOR STACK	EXTRA_01	CurrentMovementAniBeforeOriginal: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
27938	PRIMARYFIRST PlayMotion	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
27958	C1-O2-P1 DISPATCH RETURN	EXTRA_01	===== C1-O2-P1 DISPATCH RETURN =====
27986	C1 OFFENSE REQUEST	OUTSTANDING_TRUE	Outstanding: 1
28002	ENGINE SetCollisionGroup	EXTRA_01	PlayerCurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
28019	C1-O2-P1 OFFENSE SCOPE	EXTRA_01	===== C1-O2-P1 OFFENSE SCOPE =====
28039	OUTER_FRAME OFFENSE	EXTRA_01	===== OUTER_FRAME OFFENSE =====
28053	OUTER_FRAME OFFENSE	EXTRA_01	TopScriptName: _AI_GetUpAttack
28057	OUTER_FRAME OFFENSE	EXTRA_01	TopLocalCallback: OnAI_GetUpAttack
28059	OUTER_FRAME OFFENSE	EXTRA_01	CurrentState: ZS_SitKnockDown_GetUpAttack
28074	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	CurrentMovementAni: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
28078	COMBATMOVE STARTRECOVER BEGIN	EXTRA_01	PrimaryMotionName: Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
