File	StartLine	EndLine	Bytes
full_source_part_001.txt	1	286	59621
full_source_part_002.txt	287	590	59932
full_source_part_003.txt	591	870	59769
full_source_part_004.txt	871	1104	59895
full_source_part_005.txt	1105	1383	59771
full_source_part_006.txt	1384	1625	59944
full_source_part_007.txt	1626	1865	59662
full_source_part_008.txt	1866	2194	59855
full_source_part_009.txt	2195	2306	33546
