Line	Signal	Text
13348	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1190061.211 Source=Fist UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
13349	C1_FINAL	CORE C1_FINAL ElapsedMs=1190209.932 Actor=Sandcrawler Generation=1560 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
13350	C1_FINAL	CORE C1_FINAL ElapsedMs=1190285.965 Actor=PC_Hero Generation=1561 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=It_1H_Longsword_01 Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING Source[1]=It_Torch_Burning Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
13355	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1190652.421 Source=It_1H_Longsword_01 UseType=2 Owner=PC_Hero Slot=RIGHT Requested=7 Before=5 After=7 MarkerBitsRetired=0
13358	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1190953.872 Source=It_1H_Longsword_01 UseType=2 Owner=PC_Hero Slot=RIGHT Requested=5 Before=7 After=5 MarkerBitsRetired=1
13359	C1_CLEANUP_FULFILLED	CORE C1 CLEANUP FULFILLED ElapsedMs=1190953.902 Actor=PC_Hero Generation=1562 Status=PERSISTED Source=It_1H_Longsword_01 Side=RIGHT Requests=1 Outstanding=0 CleanupObserved=1 Group=5
13360	C1_FINAL	CORE C1_FINAL ElapsedMs=1190953.925 Actor=PC_Hero Generation=1562 Status=PERSISTED SourceCount=2 PhysicalChanged=0 Source[0]=It_1H_Longsword_01 Side=RIGHT Outstanding=0 Cleanup=1 Outcome=NO_OP_NO_OUTSTANDING Source[1]=It_Torch_Burning Side=LEFT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
13367	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1192422.142 Source=Fist UseType=8 Owner=<unresolved> Slot=NONE Requested=7 Before=0 After=0 MarkerBitsRetired=0
13398	C1_FINAL	CORE RAW8_OPPORTUNITY_CLOSE ElapsedMs=1192826.947 Actor=Sandcrawler Action=2 Family=POWER Motion=Minecrawler_Stand_None_Fist_P0_PowerAttack_Hit_N_Fwd_00_%_00_P0_150_L.xmot C1=1563 Raw8Fist=Fist OpportunityOrdinal=145 Reason=C1_FINALIZED LatchBefore=0 LatchAfter=1 LatchWriteAttempted=1 LatchWriteConfirmed=1
13399	C1_FINAL	CORE C1_FINAL ElapsedMs=1192826.982 Actor=Sandcrawler Generation=1563 Status=PERSISTED SourceCount=1 PhysicalChanged=0 Source[0]=Fist Side=RIGHT Outstanding=0 Cleanup=0 Outcome=NO_OP_NO_OUTSTANDING
13404	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1193483.157 Source=It_1H_Longsword_01 UseType=2 Owner=PC_Hero Slot=RIGHT Requested=7 Before=5 After=7 MarkerBitsRetired=0
13410	COLLISION_GROUP	CORE COLLISION_GROUP ElapsedMs=1193756.881 Source=It_1H_Longsword_01 UseType=2 Owner=PC_Hero Slot=RIGHT Requested=5 Before=7 After=5 MarkerBitsRetired=1
13411	C1_CLEANUP_FULFILLED	CORE C1 CLEANUP FULFILLED ElapsedMs=1193756.913 Actor=PC_Hero Generation=1564 Status=PERSISTED Source=It_1H_Longsword_01 Side=RIGHT Requests=1 Outstanding=0 CleanupObserved=1 Group=5
