StartLine	EndLine	Event	SelectedFields
90890	90903	C1-O2 OUTER BINDING	ElapsedMs=388206.347 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=123 | Status=CANDIDATE | PhysicalCollisionChanged=0
90904	90928	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=388206.362 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
90929	90953	PRIMARYFIRST StopMotion	ElapsedMs=388206.579
90954	90985	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=388206.607 | Actor=PC_Hero
90986	91010	PRIMARYFIRST PlayMotion	ElapsedMs=388206.606
91011	91021	C1 LIFECYCLE STATUS	ElapsedMs=388206.696 | Event=PERSISTED | Actor=PC_Hero | Generation=123 | Status=PERSISTED | PhysicalCollisionChanged=0
91022	91048	ENGINE SetCollisionGroup	ElapsedMs=388343.008 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.137984 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
91049	91075	ENGINE SetCollisionGroup	ElapsedMs=388490.400 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=26 | PlayerAniPhase=1 | PlayerStateTime=0.284989 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
91076	91098	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=388512.975 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
91099	91123	PRIMARYFIRST StopMotion	ElapsedMs=388513.247
91124	91150	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=388513.276 | Actor=PC_Hero
91151	91175	PRIMARYFIRST PlayMotion	ElapsedMs=388513.275
91176	91198	COMBATMOVE STARTRECOVER END	ElapsedMs=388513.404 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
91199	91238	AISETSTATE CALLSITE	ElapsedMs=388513.468 | Actor=PC_Hero | CurrentAction=26 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_StumbleR_Hit_N_Back_00_%_00_P0_90.xmot
91239	91263	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=388513.508 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
91264	91285	C1 FINALIZATION	ElapsedMs=388513.530 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=123 | Status=PERSISTED | PhysicalCollisionChanged=0
91286	91310	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=388513.550 | Actor=PC_Hero | CurrentAction=26 | CurrentStateTime=0.000000
91311	91335	PRIMARYFIRST StopMotion	ElapsedMs=388908.278
91336	91360	PRIMARYFIRST StopMotion	ElapsedMs=388908.332
91361	91387	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=388908.356 | Actor=PC_Hero
91388	91412	PRIMARYFIRST PlayMotion	ElapsedMs=388908.355
91413	91437	PRIMARYFIRST StopMotion	ElapsedMs=389091.315
91438	91464	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=389091.423 | Actor=PC_Hero
91465	91489	PRIMARYFIRST PlayMotion	ElapsedMs=389091.422
91490	91529	AISETSTATE CALLSITE	ElapsedMs=389280.017 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=8 | CurrentStateTime=0.755954 | CurrentMovementAni=Hero_Stand_None_2H_P0_Move_Walk_N_Back_00_%_00_P0_160.xmot
91530	91554	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=389280.083 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.755954
91555	91579	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=389280.105 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
91580	91619	AISETSTATE CALLSITE	ElapsedMs=389290.720 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=8 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_Move_Walk_N_Back_00_%_00_P0_160.xmot
91620	91644	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=389290.793 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
91645	91669	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=389290.842 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
91670	91694	PRIMARYFIRST StopMotion	ElapsedMs=389301.410
91695	91719	PRIMARYFIRST StopMotion	ElapsedMs=389301.540
91720	91746	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=389301.571 | Actor=PC_Hero
91747	91771	PRIMARYFIRST PlayMotion	ElapsedMs=389301.570
91772	91796	PRIMARYFIRST StopMotion	ElapsedMs=389645.893
91797	91821	PRIMARYFIRST StopMotion	ElapsedMs=389645.941
91822	91848	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=389645.966 | Actor=PC_Hero
91849	91873	PRIMARYFIRST PlayMotion	ElapsedMs=389645.965
91874	91900	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=389898.960 | Actor=PC_Hero
91901	91925	PRIMARYFIRST PlayMotion	ElapsedMs=389898.958
91926	91950	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=390000.320 | Actor=ReddockOrcScout01 | CurrentAction=1 | CurrentStateTime=0.000000
91951	91975	MARKER OWNERSHIP DECISION	ElapsedMs=390000.617 | Actor=ReddockOrcScout01 | CurrentMovementAni=Orc_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_140_R.xmot
91976	92002	ENGINE SetCollisionGroup	ElapsedMs=390254.893 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=0 | PlayerAniPhase=5 | PlayerStateTime=0.953956 | PlayerCurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
92003	92027	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=390321.353 | Actor=ReddockOrcWarrior01 | CurrentAction=10 | CurrentStateTime=0.000000
92028	92067	AISETSTATE CALLSITE	ElapsedMs=390454.828 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.149948 | CurrentMovementAni=Hero_Parade_None_2H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
92068	92092	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=390454.895 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.149948
92093	92117	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=390454.918 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
92118	92134	C1 LIFECYCLE START	ElapsedMs=390465.436 | Actor=PC_Hero | Generation=126 | Status=CANDIDATE | PhysicalCollisionChanged=0
92135	92148	C1-O2 OUTER BINDING	ElapsedMs=390465.474 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=126 | Status=CANDIDATE | PhysicalCollisionChanged=0
