StartLine	EndLine	Event	SelectedFields
110660	110681	C1 FINALIZATION	ElapsedMs=416063.296 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=176 | Status=PERSISTED | PhysicalCollisionChanged=0
110682	110706	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=416063.318 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.000000
110707	110746	AISETSTATE CALLSITE	ElapsedMs=416063.394 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_2H_P0_QuickAttackL_Recover_N_Fwd_00_%_00_P0_0_L.xmot
110747	110771	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=416063.435 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
110772	110796	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=416063.455 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
110797	110813	C1 LIFECYCLE START	ElapsedMs=416074.121 | Actor=PC_Hero | Generation=178 | Status=CANDIDATE | PhysicalCollisionChanged=0
110814	110827	C1-O2 OUTER BINDING	ElapsedMs=416074.159 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=178 | Status=CANDIDATE | PhysicalCollisionChanged=0
110828	110852	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=416074.171 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
110853	110877	PRIMARYFIRST StopMotion	ElapsedMs=416074.206
110878	110909	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=416074.231 | Actor=PC_Hero
110910	110934	PRIMARYFIRST PlayMotion	ElapsedMs=416074.230
110935	110945	C1 LIFECYCLE STATUS	ElapsedMs=416074.330 | Event=PERSISTED | Actor=PC_Hero | Generation=178 | Status=PERSISTED | PhysicalCollisionChanged=0
110946	110970	MARKER OWNERSHIP DECISION	ElapsedMs=416074.347 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Hit_N_Fwd_00_%_00_P1_90_R.xmot
110971	110987	C1 OFFENSE REQUEST	ElapsedMs=416333.903 | Actor=PC_Hero | Generation=178 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E6F5CA10 | ActualGroup=7 | PhysicalCollisionChanged=0
