StartLine	EndLine	Event	SelectedFields
67119	67138	NATIVE CLEANUP CALL SITE	ElapsedMs=304223.308 | Source=It_1H_Sword_Rust_01 | SourceAddress=E6F5E210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
67139	67168	OUTER_FRAME CLEANUP	ElapsedMs=304223.328 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6F5E210 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=5 | CurrentStateTime=0.443960
67169	67208	AISETSTATE CALLSITE	ElapsedMs=304331.824 | Actor=PC_Hero | CurrentAction=5 | CurrentAniPhase=3 | CurrentStateTime=0.551949 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Recover_N_Fwd_00_%_00_P1_0_L.xmot
67209	67233	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=304331.896 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.551949
67234	67266	C1 FINALIZATION	ElapsedMs=304331.920 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=83 | Status=PERSISTED | PhysicalCollisionChanged=0
67267	67291	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=304331.946 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.000000
67292	67331	AISETSTATE CALLSITE	ElapsedMs=304382.025 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.039996 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Recover_N_Fwd_00_%_00_P1_0_L.xmot
67332	67356	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=304382.093 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.039996
67357	67381	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=304382.115 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
67382	67425	AIFULLSTOP CALLSITE	ElapsedMs=304388.472 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Recover_N_Fwd_00_%_00_P1_0_L.xmot
67426	67466	AISETSTATE CALLSITE	ElapsedMs=304388.551 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackL_Recover_N_Fwd_00_%_00_P1_0_L.xmot
67467	67491	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=304388.593 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
67492	67516	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=304388.614 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
67517	67538	C1 LIFECYCLE START	ElapsedMs=304392.679 | Actor=PC_Hero | Generation=84 | Status=CANDIDATE | PhysicalCollisionChanged=0
67539	67552	C1-O2 OUTER BINDING	ElapsedMs=304392.711 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=84 | Status=CANDIDATE | PhysicalCollisionChanged=0
67553	67577	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=304392.722 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
67578	67602	PRIMARYFIRST StopMotion	ElapsedMs=304392.763
67603	67634	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=304392.789 | Actor=PC_Hero
67635	67659	PRIMARYFIRST PlayMotion	ElapsedMs=304392.789
67660	67670	C1 LIFECYCLE STATUS	ElapsedMs=304392.875 | Event=PERSISTED | Actor=PC_Hero | Generation=84 | Status=PERSISTED | PhysicalCollisionChanged=0
67671	67699	MARKER OWNERSHIP DECISION	ElapsedMs=304392.890 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
67700	67716	C1 OFFENSE REQUEST	ElapsedMs=304494.033 | Actor=PC_Hero | Generation=84 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E6F5E210 | ActualGroup=7 | PhysicalCollisionChanged=0
67717	67743	ENGINE SetCollisionGroup	ElapsedMs=304494.071 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=4 | PlayerAniPhase=1 | PlayerStateTime=0.101016 | PlayerCurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
67744	67773	OUTER_FRAME OFFENSE	ElapsedMs=304494.095 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6F5E210 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=4 | CurrentStateTime=0.101016
67774	67799	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=304837.711 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Stand_1H_1H_P1_QuickAttackR_Hit_N_Fwd_00_%_00_P1_100_R.xmot
67800	67824	PRIMARYFIRST StopMotion	ElapsedMs=304838.088
