StartLine	EndLine	Event	SelectedFields
316586	316612	ENGINE SetCollisionGroup	ElapsedMs=776330.511 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=29 | PlayerAniPhase=4 | PlayerStateTime=0.641961 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P0_LieKnockDown_Begin_N_Fwd_00_%_00_P0_150.xmot
316613	316637	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=776505.006 | Actor=Orc_Raider_Warrior_01 | CurrentAction=5 | CurrentStateTime=0.000000
316638	316664	ENGINE SetCollisionGroup	ElapsedMs=776604.888 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=29 | PlayerAniPhase=4 | PlayerStateTime=0.917953 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P0_LieKnockDown_Begin_N_Fwd_00_%_00_P0_150.xmot
316665	316691	ENGINE SetCollisionGroup	ElapsedMs=776823.740 | RequestedGroup=6 | BeforeGroup=7 | AfterGroup=6 | PlayerAction=29 | PlayerAniPhase=4 | PlayerStateTime=1.146966 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P0_LieKnockDown_Begin_N_Fwd_00_%_00_P0_150.xmot
316692	316716	PRIMARYFIRST StopMotion	ElapsedMs=776889.366
316717	316743	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=776889.414 | Actor=PC_Hero
316744	316768	PRIMARYFIRST PlayMotion	ElapsedMs=776889.412
316769	316795	ENGINE SetCollisionGroup	ElapsedMs=777697.457 | RequestedGroup=7 | BeforeGroup=1 | AfterGroup=7 | PlayerAction=29 | PlayerAniPhase=4 | PlayerStateTime=2.007912 | PlayerCurrentMovementAni=Hero_LieKnockDown_Shield_1H_P0_SitKnockDown_Begin_N_Fwd_00_%_00_P0_0.xmot
316796	316835	AISETSTATE CALLSITE	ElapsedMs=777698.381 | Actor=PC_Hero | CurrentAction=29 | CurrentAniPhase=4 | CurrentStateTime=2.007912 | CurrentMovementAni=Hero_LieKnockDown_Shield_1H_P0_SitKnockDown_Begin_N_Fwd_00_%_00_P0_0.xmot
316836	316860	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=777698.434 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=2.007912
316861	316895	C1 FINALIZATION	ElapsedMs=777698.461 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=950 | Status=PERSISTED | PhysicalCollisionChanged=0
316896	316920	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=777698.492 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=0.000000
316921	316960	AISETSTATE CALLSITE	ElapsedMs=777698.514 | Actor=PC_Hero | CurrentAction=29 | CurrentAniPhase=4 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_LieKnockDown_Shield_1H_P0_SitKnockDown_Begin_N_Fwd_00_%_00_P0_0.xmot
316961	316985	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=777698.552 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=0.000000
316986	317010	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=777698.571 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=0.000000
317011	317022	C1 INVARIANT WARNING	ElapsedMs=777712.543 | Code=UNOWNED_PLAYER_OFFENSE_REQUEST | Actor=PC_Hero | Generation=0 | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | ActualGroup=7 | PhysicalCollisionChanged=0
317023	317049	ENGINE SetCollisionGroup	ElapsedMs=777712.579 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=4 | PlayerStateTime=0.000000 | PlayerCurrentMovementAni=Hero_LieKnockDown_Shield_1H_P0_SitKnockDown_Begin_N_Fwd_00_%_00_P0_0.xmot
317050	317079	OUTER_FRAME OFFENSE	ElapsedMs=777712.605 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=30 | CurrentStateTime=0.000000
317080	317101	C1 LIFECYCLE START	ElapsedMs=777712.635 | Actor=PC_Hero | Generation=952 | Status=CANDIDATE | PhysicalCollisionChanged=0
317102	317115	C1-O2 OUTER BINDING	ElapsedMs=777712.654 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=952 | Status=CANDIDATE | PhysicalCollisionChanged=0
317116	317140	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=777712.666 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
317141	317165	PRIMARYFIRST StopMotion	ElapsedMs=777712.799
317166	317197	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=777712.858 | Actor=PC_Hero
317198	317222	PRIMARYFIRST PlayMotion	ElapsedMs=777712.857
317223	317233	C1 LIFECYCLE STATUS	ElapsedMs=777712.970 | Event=PERSISTED | Actor=PC_Hero | Generation=952 | Status=PERSISTED | PhysicalCollisionChanged=0
317234	317260	ENGINE SetCollisionGroup	ElapsedMs=777813.625 | RequestedGroup=7 | BeforeGroup=1 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.102994 | PlayerCurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317261	317277	C1 OFFENSE REQUEST	ElapsedMs=777814.087 | Actor=PC_Hero | Generation=952 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | ActualGroup=7 | PhysicalCollisionChanged=0
317278	317304	ENGINE SetCollisionGroup	ElapsedMs=777814.111 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.102994 | PlayerCurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317305	317334	OUTER_FRAME OFFENSE	ElapsedMs=777814.139 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | CurrentAction=30 | CurrentStateTime=0.102994
317335	317359	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=777855.528 | Actor=Orc_Camp_Warrior_01 | CurrentAction=1 | CurrentStateTime=0.000000
317360	317384	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=777905.812 | Actor=Orc_Raider_Warrior_01 | CurrentAction=1 | CurrentStateTime=0.000000
317385	317409	MARKER OWNERSHIP DECISION	ElapsedMs=777905.904 | Actor=Orc_Raider_Warrior_01 | CurrentMovementAni=Orc_Stand_None_Staff_P0_Attack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317410	317436	ENGINE SetCollisionGroup	ElapsedMs=778116.029 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.406977 | PlayerCurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317437	317462	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=778120.866 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317463	317486	HIT STARTRECOVER BEGIN STACK	ElapsedMs=778120.912 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentStateTime=0.406977 | CurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317487	317511	PRIMARYFIRST StopMotion	ElapsedMs=778120.965
317512	317538	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=778120.990 | Actor=PC_Hero
317539	317563	PRIMARYFIRST PlayMotion	ElapsedMs=778120.989
317564	317589	COMBATMOVE STARTRECOVER END	ElapsedMs=778121.059 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=3 | CurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317590	317606	C1 CLEANUP FULFILLED	ElapsedMs=778121.112 | Actor=PC_Hero | Generation=952 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | ActualGroup=5 | PhysicalCollisionChanged=0
317607	317633	ENGINE SetCollisionGroup	ElapsedMs=778121.127 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=30 | PlayerAniPhase=3 | PlayerStateTime=0.406977 | PlayerCurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317634	317653	NATIVE CLEANUP CALL SITE	ElapsedMs=778121.146 | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
317654	317683	OUTER_FRAME CLEANUP	ElapsedMs=778121.166 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=BFDCAE10 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=30 | CurrentStateTime=0.406977
317684	317723	AISETSTATE CALLSITE	ElapsedMs=778121.206 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_SitKnockDown_Shield_1H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
317724	317748	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=778121.245 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
317749	317783	C1 FINALIZATION	ElapsedMs=778121.267 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=952 | Status=PERSISTED | PhysicalCollisionChanged=0
317784	317808	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=778121.296 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
