StartLine	EndLine	Event	SelectedFields
113958	113984	ENGINE SetCollisionGroup	ElapsedMs=350833.961 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=2 | PlayerAniPhase=3 | PlayerStateTime=1.384960 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_PowerAttack_Hit_N_Fwd_00_%_00_P2_100_L.xmot
113985	114004	NATIVE CLEANUP CALL SITE	ElapsedMs=350833.979 | Source=It_1H_Sword_Rust_01 | SourceAddress=E8763410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
114005	114034	OUTER_FRAME CLEANUP	ElapsedMs=350834.027 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E8763410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=2 | CurrentStateTime=1.384960
114035	114074	AISETSTATE CALLSITE	ElapsedMs=350834.058 | Actor=PC_Hero | CurrentAction=2 | CurrentAniPhase=3 | CurrentStateTime=1.384960 | CurrentMovementAni=Hero_Stand_Shield_1H_P1_PowerAttack_Hit_N_Fwd_00_%_00_P2_100_L.xmot
114075	114099	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=350834.095 | Actor=PC_Hero | CurrentAction=2 | CurrentStateTime=1.384960
114100	114134	C1 FINALIZATION	ElapsedMs=350834.115 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=134 | Status=PERSISTED | PhysicalCollisionChanged=0
114135	114159	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=350834.165 | Actor=PC_Hero | CurrentAction=2 | CurrentStateTime=0.000000
114160	114186	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=351945.184 | Actor=PC_Hero
114187	114211	PRIMARYFIRST PlayMotion	ElapsedMs=351945.182
114212	114251	AISETSTATE CALLSITE	ElapsedMs=352403.775 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.555958 | CurrentMovementAni=Hero_Stand_Shield_1H_P2_Ambient_Loop_N_Fwd_00_%_00_P2_0.xmot
114252	114276	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=352403.902 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.555958
114277	114301	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=352403.931 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
114302	114323	C1 LIFECYCLE START	ElapsedMs=352416.462 | Actor=PC_Hero | Generation=135 | Status=CANDIDATE | PhysicalCollisionChanged=0
114324	114337	C1-O2 OUTER BINDING	ElapsedMs=352416.499 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=135 | Status=CANDIDATE | PhysicalCollisionChanged=0
114338	114362	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=352416.511 | Actor=PC_Hero | CurrentAction=16 | CurrentStateTime=0.000000
114363	114387	PRIMARYFIRST StopMotion	ElapsedMs=352418.277
114388	114419	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=352418.310 | Actor=PC_Hero
114420	114444	PRIMARYFIRST PlayMotion	ElapsedMs=352418.309
114445	114455	C1 LIFECYCLE STATUS	ElapsedMs=352418.406 | Event=PERSISTED | Actor=PC_Hero | Generation=135 | Status=PERSISTED | PhysicalCollisionChanged=0
114456	114495	AISETSTATE CALLSITE	ElapsedMs=352771.614 | Actor=PC_Hero | CurrentAction=16 | CurrentAniPhase=4 | CurrentStateTime=0.355003 | CurrentMovementAni=Hero_Stand_Shield_1H_P2_Parade_Begin_N_Fwd_00_%_00_P1_0.xmot
114496	114520	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=352771.683 | Actor=PC_Hero | CurrentAction=16 | CurrentStateTime=0.355003
114521	114555	C1 FINALIZATION	ElapsedMs=352771.706 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=135 | Status=PERSISTED | PhysicalCollisionChanged=0
114556	114580	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=352771.739 | Actor=PC_Hero | CurrentAction=16 | CurrentStateTime=0.000000
114581	114607	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=352783.711 | Actor=PC_Hero
114608	114632	PRIMARYFIRST PlayMotion	ElapsedMs=352783.709
114633	114672	AISETSTATE CALLSITE	ElapsedMs=354611.058 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.825952 | CurrentMovementAni=Hero_Parade_Shield_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
114673	114697	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=354611.133 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.825952
114698	114722	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=354611.226 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
114723	114766	AIFULLSTOP CALLSITE	ElapsedMs=354622.775 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Parade_Shield_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
114767	114807	AISETSTATE CALLSITE	ElapsedMs=354622.865 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Parade_Shield_1H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
114808	114832	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=354622.910 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
114833	114857	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=354622.934 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
114858	114879	C1 LIFECYCLE START	ElapsedMs=354625.093 | Actor=PC_Hero | Generation=136 | Status=CANDIDATE | PhysicalCollisionChanged=0
114880	114893	C1-O2 OUTER BINDING	ElapsedMs=354625.153 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=136 | Status=CANDIDATE | PhysicalCollisionChanged=0
114894	114918	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=354625.165 | Actor=PC_Hero | CurrentAction=5 | CurrentStateTime=0.000000
114919	114943	PRIMARYFIRST StopMotion	ElapsedMs=354625.581
114944	114975	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=354625.655 | Actor=PC_Hero
114976	115000	PRIMARYFIRST PlayMotion	ElapsedMs=354625.653
115001	115011	C1 LIFECYCLE STATUS	ElapsedMs=354625.774 | Event=PERSISTED | Actor=PC_Hero | Generation=136 | Status=PERSISTED | PhysicalCollisionChanged=0
115012	115040	MARKER OWNERSHIP DECISION	ElapsedMs=354625.791 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_Shield_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P50_100_L.xmot
115041	115057	C1 OFFENSE REQUEST	ElapsedMs=354728.285 | Actor=PC_Hero | Generation=136 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E8763410 | ActualGroup=7 | PhysicalCollisionChanged=0
115058	115084	ENGINE SetCollisionGroup	ElapsedMs=354728.319 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=5 | PlayerAniPhase=1 | PlayerStateTime=0.104009 | PlayerCurrentMovementAni=Hero_Stand_Shield_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P50_100_L.xmot
115085	115114	OUTER_FRAME OFFENSE	ElapsedMs=354728.349 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E8763410 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=5 | CurrentStateTime=0.104009
115115	115158	AIFULLSTOP CALLSITE	ElapsedMs=354855.053 | Actor=PC_Hero | CurrentAction=5 | CurrentAniPhase=1 | CurrentStateTime=0.232995 | CurrentMovementAni=Hero_Stand_Shield_1H_P1_QuickAttackL_Hit_N_Fwd_00_%_00_P50_100_L.xmot
