StartLine	EndLine	Event	SelectedFields
92665	92704	AISETSTATE CALLSITE	ElapsedMs=292350.097 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
92705	92729	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=292350.170 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
92730	92754	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=292350.195 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
92755	92781	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=292364.031 | Actor=PC_Hero
92782	92806	PRIMARYFIRST PlayMotion	ElapsedMs=292364.029
92807	92833	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=293788.264 | Actor=PC_Hero
92834	92858	PRIMARYFIRST PlayMotion	ElapsedMs=293788.262
92859	92898	AISETSTATE CALLSITE	ElapsedMs=294179.583 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.809939 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
92899	92923	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=294179.652 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.809939
92924	92948	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=294179.674 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
92949	92988	AISETSTATE CALLSITE	ElapsedMs=294193.006 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
92989	93013	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=294193.076 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93014	93038	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=294193.104 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93039	93065	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=294206.723 | Actor=PC_Hero
93066	93090	PRIMARYFIRST PlayMotion	ElapsedMs=294206.721
93091	93130	AISETSTATE CALLSITE	ElapsedMs=295573.438 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=1.366926 | CurrentMovementAni=Hero_Parade_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
93131	93155	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=295573.513 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=1.366926
93156	93180	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=295573.537 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
93181	93202	C1 LIFECYCLE START	ElapsedMs=295586.320 | Actor=PC_Hero | Generation=111 | Status=CANDIDATE | PhysicalCollisionChanged=0
93203	93216	C1-O2 OUTER BINDING	ElapsedMs=295586.360 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=111 | Status=CANDIDATE | PhysicalCollisionChanged=0
93217	93241	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=295586.371 | Actor=PC_Hero | CurrentAction=11 | CurrentStateTime=0.000000
93242	93266	PRIMARYFIRST StopMotion	ElapsedMs=295586.414
93267	93298	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=295586.440 | Actor=PC_Hero
93299	93323	PRIMARYFIRST PlayMotion	ElapsedMs=295586.439
93324	93334	C1 LIFECYCLE STATUS	ElapsedMs=295586.524 | Event=PERSISTED | Actor=PC_Hero | Generation=111 | Status=PERSISTED | PhysicalCollisionChanged=0
93335	93348	C1-O2 OUTER BINDING	ElapsedMs=296156.681 | Event=COMBAT_MOVE_REUSED | Actor=PC_Hero | Generation=111 | Status=PERSISTED | PhysicalCollisionChanged=0
93349	93373	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=296156.713 | Actor=PC_Hero | CurrentAction=11 | CurrentStateTime=0.569986
93374	93398	PRIMARYFIRST StopMotion	ElapsedMs=296160.122
93399	93429	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=296160.157 | Actor=PC_Hero
93430	93454	PRIMARYFIRST PlayMotion	ElapsedMs=296160.155
93455	93471	C1 OFFENSE REQUEST	ElapsedMs=296393.511 | Actor=PC_Hero | Generation=111 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E27B3010 | ActualGroup=7 | PhysicalCollisionChanged=0
93472	93498	ENGINE SetCollisionGroup	ElapsedMs=296393.548 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=11 | PlayerAniPhase=1 | PlayerStateTime=0.806963 | PlayerCurrentMovementAni=Hero_Parade_1H_1H_P0_PierceAttack_Hit_N_Fwd_00_%_00_P0_50_F.xmot
93499	93528	OUTER_FRAME OFFENSE	ElapsedMs=296393.574 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E27B3010 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=11 | CurrentStateTime=0.806963
93529	93554	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=296563.478 | Actor=PC_Hero | CurrentAction=11 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Parade_1H_1H_P0_PierceAttack_Hit_N_Fwd_00_%_00_P0_50_F.xmot
93555	93578	HIT STARTRECOVER BEGIN STACK	ElapsedMs=296563.535 | Actor=PC_Hero | CurrentAction=11 | CurrentAniPhase=1 | CurrentStateTime=0.973970 | CurrentMovementAni=Hero_Parade_1H_1H_P0_PierceAttack_Hit_N_Fwd_00_%_00_P0_50_F.xmot
93579	93603	PRIMARYFIRST StopMotion	ElapsedMs=296565.240
93604	93630	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=296565.272 | Actor=PC_Hero
93631	93655	PRIMARYFIRST PlayMotion	ElapsedMs=296565.271
93656	93681	COMBATMOVE STARTRECOVER END	ElapsedMs=296565.344 | Actor=PC_Hero | CurrentAction=11 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Parade_1H_1H_P0_PierceAttack_Hit_N_Fwd_00_%_00_P0_50_F.xmot
93682	93698	C1 CLEANUP FULFILLED	ElapsedMs=296565.407 | Actor=PC_Hero | Generation=111 | Status=PERSISTED | Source=It_1H_Sword_Rust_01 | SourceAddress=E27B3010 | ActualGroup=5 | PhysicalCollisionChanged=0
