StartLine	EndLine	Event	SelectedFields
23368	23387	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=110927.073 | SourceAddress=E6A90410
23388	23450	OUTER_FRAME OFFENSE	ElapsedMs=110927.090 | Actor=PC_Hero | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | MarkerAction=ACCEPTED | SetCollisionGroupAction=REQUESTED_ITEM_ATTACK | CurrentAction=10 | CurrentStateTime=0.167005
23451	23465	G3AB_COL_OFF RECEIVED	ElapsedMs=111164.283 | Actor=PC_Hero | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23466	23482	C1 CLEANUP FULFILLED	ElapsedMs=111164.316 | Actor=PC_Hero | Generation=25 | Status=PERSISTED | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | ActualGroup=5 | PhysicalCollisionChanged=0
23483	23509	ENGINE SetCollisionGroup	ElapsedMs=111164.347 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=10 | PlayerAniPhase=1 | PlayerStateTime=0.404989 | PlayerCurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23510	23530	NATIVE CLEANUP CALL SITE	ElapsedMs=111164.369 | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
23531	23575	OUTER_FRAME CLEANUP	ElapsedMs=111164.446 | Actor=PC_Hero | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | MarkerAction=OFF_ACCEPTED | SetCollisionGroupAction=REQUESTED_ITEM_EQUIPPED_FOR_OWNED_SOURCES | CurrentAction=10 | CurrentStateTime=0.404989
23576	23590	G3AB_COL_RIGHT RECEIVED	ElapsedMs=111361.896 | Actor=PC_Hero | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23591	23607	C1 OFFENSE REQUEST	ElapsedMs=111361.926 | Actor=PC_Hero | Generation=25 | Status=PERSISTED | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | ActualGroup=7 | PhysicalCollisionChanged=0
23608	23634	ENGINE SetCollisionGroup	ElapsedMs=111361.955 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=10 | PlayerAniPhase=1 | PlayerStateTime=0.602285 | PlayerCurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23635	23654	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=111361.978 | SourceAddress=E6A90410
23655	23717	OUTER_FRAME OFFENSE	ElapsedMs=111362.042 | Actor=PC_Hero | Source=Wrestling Staff_BBM | SourceAddress=E6A90410 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | MarkerAction=ACCEPTED | SetCollisionGroupAction=REQUESTED_ITEM_ATTACK | CurrentAction=10 | CurrentStateTime=0.602285
23718	23743	G3AB_COL_OFF RECEIVED	ElapsedMs=111362.097 | Actor=PC_Hero | MarkerAction=AUTHORED_OCCURRENCE_BUDGET_IGNORED | SetCollisionGroupAction=NOT_REQUESTED_BUDGET_EXHAUSTED | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23744	23767	G3AB_COL_RIGHT RECEIVED	ElapsedMs=111362.121 | Actor=PC_Hero | MarkerAction=DUPLICATE_SAME_UPDATE_IGNORED | SetCollisionGroupAction=NOT_REQUESTED_DUPLICATE | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
23768	23790	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=111573.783 | Actor=PC_Hero | CurrentAction=10 | CurrentAniPhase=1 | CurrentMovementAni=Hero_Parade_None_Staff_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
