StartLine	EndLine	Event	SelectedFields
133880	133902	COMBATMOVE STARTRECOVER END	ElapsedMs=384981.382 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
133903	133919	C1 CLEANUP FULFILLED	ElapsedMs=384981.439 | Actor=PC_Hero | Generation=273 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | ActualGroup=5 | PhysicalCollisionChanged=0
133920	133946	ENGINE SetCollisionGroup	ElapsedMs=384981.456 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=1 | PlayerAniPhase=3 | PlayerStateTime=0.650918 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
133947	133967	NATIVE CLEANUP CALL SITE	ElapsedMs=384981.475 | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
133968	133997	OUTER_FRAME CLEANUP	ElapsedMs=384981.498 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=1 | CurrentStateTime=0.650918
133998	134038	AISETSTATE CALLSITE	ElapsedMs=384981.528 | Actor=PC_Hero | CurrentAction=1 | CurrentAniPhase=3 | CurrentStateTime=0.650918 | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
134039	134063	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=384981.570 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.650918
134064	134090	C1 FINALIZATION	ElapsedMs=384981.593 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=273 | Status=PERSISTED | PhysicalCollisionChanged=0
134091	134115	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=384981.616 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
134116	134155	AISETSTATE CALLSITE	ElapsedMs=385004.028 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=3 | CurrentStateTime=0.012000 | CurrentMovementAni=Hero_Stand_None_2H_P0_Attack_Recover_N_Fwd_00_%_00_P0_0_L.xmot
134156	134180	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=385004.098 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.012000
134181	134205	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=385004.125 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
134206	134222	C1 LIFECYCLE START	ElapsedMs=385015.270 | Actor=PC_Hero | Generation=275 | Status=CANDIDATE | PhysicalCollisionChanged=0
134223	134236	C1-O2 OUTER BINDING	ElapsedMs=385015.303 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=275 | Status=CANDIDATE | PhysicalCollisionChanged=0
134237	134261	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=385015.314 | Actor=PC_Hero | CurrentAction=2 | CurrentStateTime=0.000000
134262	134286	PRIMARYFIRST StopMotion	ElapsedMs=385015.351
134287	134319	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=385015.375 | Actor=PC_Hero
