StartLine	EndLine	Event	SelectedFields
62	104	AIFULLSTOP CALLSITE	ElapsedMs=18433.299 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=
105	131	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=18461.961 | Actor=PC_Hero
132	156	PRIMARYFIRST PlayMotion	ElapsedMs=18461.955
157	196	AISETSTATE CALLSITE	ElapsedMs=18462.950 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=12 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_None_None_P0_Ambient_Ambient_N_Fwd_00_%_10_P0_0.xmot
197	221	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=18463.123 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
222	246	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=18463.154 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
247	271	PRIMARYFIRST StopMotion	ElapsedMs=21802.081
272	298	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=21802.120 | Actor=PC_Hero
299	323	PRIMARYFIRST PlayMotion	ElapsedMs=21802.118
324	348	PRIMARYFIRST StopMotion	ElapsedMs=22130.006
349	375	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=22130.043 | Actor=PC_Hero
376	400	PRIMARYFIRST PlayMotion	ElapsedMs=22130.042
401	440	AISETSTATE CALLSITE	ElapsedMs=22489.690 | Actor=PC_Hero | CurrentAction=68 | CurrentAniPhase=6 | CurrentStateTime=0.774836 | CurrentMovementAni=Hero_Stand_None_2H_P0_HoldRight_End_N_Fwd_00_%_00_P0_0.xmot
441	465	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=22489.813 | Actor=PC_Hero | CurrentAction=68 | CurrentStateTime=0.774836
466	490	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=22489.840 | Actor=PC_Hero | CurrentAction=68 | CurrentStateTime=0.000000
491	530	AISETSTATE CALLSITE	ElapsedMs=22820.020 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=6 | CurrentStateTime=0.322192 | CurrentMovementAni=Hero_Stand_None_2H_P0_HoldRight_End_N_Fwd_00_%_00_P0_0.xmot
531	555	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=22820.088 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.322192
556	580	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=22820.110 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
581	597	C1 LIFECYCLE START	ElapsedMs=22830.022 | Actor=PC_Hero | Generation=1 | Status=CANDIDATE | PhysicalCollisionChanged=0
598	622	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=22830.059 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
623	647	PRIMARYFIRST StopMotion	ElapsedMs=22837.711
648	678	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=22837.751 | Actor=PC_Hero
679	703	PRIMARYFIRST PlayMotion	ElapsedMs=22837.750
704	714	C1 LIFECYCLE STATUS	ElapsedMs=22837.852 | Event=PERSISTED | Actor=PC_Hero | Generation=1 | Status=PERSISTED | PhysicalCollisionChanged=0
715	731	C1 LIFECYCLE START	ElapsedMs=22992.879 | Actor=PC_Hero | Generation=2 | Status=CANDIDATE | PhysicalCollisionChanged=0
732	745	C1-O2 OUTER BINDING	ElapsedMs=22992.908 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=2 | Status=CANDIDATE | PhysicalCollisionChanged=0
746	770	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=22992.919 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.163816
771	795	PRIMARYFIRST StopMotion	ElapsedMs=22993.279
796	829	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=22993.307 | Actor=PC_Hero
