StartLine	EndLine	Event	SelectedFields
110910	110930	NATIVE CLEANUP CALL SITE	ElapsedMs=309486.822 | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E97010 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
110931	110960	OUTER_FRAME CLEANUP	ElapsedMs=309486.847 | Actor=PC_Hero | Source=It_1H_Sword_Rust_01 | SourceAddress=E6E97010 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=4 | CurrentStateTime=0.404962
110961	111004	AIFULLSTOP CALLSITE	ElapsedMs=309534.319 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=3 | CurrentStateTime=0.453966 | CurrentMovementAni=Hero_Stand_1H_1H_P0_QuickAttackR_Recover_N_Fwd_00_%_00_P0_0_R.xmot
111005	111045	AISETSTATE CALLSITE	ElapsedMs=309534.412 | Actor=PC_Hero | CurrentAction=4 | CurrentAniPhase=3 | CurrentStateTime=0.453966 | CurrentMovementAni=Hero_Stand_1H_1H_P0_QuickAttackR_Recover_N_Fwd_00_%_00_P0_0_R.xmot
111046	111070	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=309534.473 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.453966
111071	111105	C1 FINALIZATION	ElapsedMs=309534.539 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=131 | Status=PERSISTED | PhysicalCollisionChanged=0
111106	111130	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=309534.570 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
111131	111157	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=309988.267 | Actor=PC_Hero
111158	111182	PRIMARYFIRST PlayMotion	ElapsedMs=309988.265
111183	111222	AISETSTATE CALLSITE	ElapsedMs=310111.776 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.574967 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
111223	111247	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=310111.850 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.574967
111248	111272	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=310111.873 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
111273	111312	AISETSTATE CALLSITE	ElapsedMs=310121.798 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_Stand_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
111313	111337	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=310121.870 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
111338	111362	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=310121.894 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
111363	111389	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=310131.660 | Actor=PC_Hero
111390	111414	PRIMARYFIRST PlayMotion	ElapsedMs=310131.658
111415	111454	AISETSTATE CALLSITE	ElapsedMs=312395.844 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=2.263457 | CurrentMovementAni=Hero_Parade_1H_1H_P0_Ambient_Loop_N_Fwd_00_%_00_P0_0.xmot
111455	111479	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=312395.919 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=2.263457
111480	111504	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=312395.944 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
111505	111526	C1 LIFECYCLE START	ElapsedMs=312405.679 | Actor=PC_Hero | Generation=132 | Status=CANDIDATE | PhysicalCollisionChanged=0
111527	111540	C1-O2 OUTER BINDING	ElapsedMs=312405.717 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=132 | Status=CANDIDATE | PhysicalCollisionChanged=0
111541	111565	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=312405.729 | Actor=PC_Hero | CurrentAction=11 | CurrentStateTime=0.000000
111566	111590	PRIMARYFIRST StopMotion	ElapsedMs=312405.765
111591	111623	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=312405.861 | Actor=PC_Hero
111624	111648	PRIMARYFIRST PlayMotion	ElapsedMs=312405.860
111649	111659	C1 LIFECYCLE STATUS	ElapsedMs=312405.971 | Event=PERSISTED | Actor=PC_Hero | Generation=132 | Status=PERSISTED | PhysicalCollisionChanged=0
111660	111703	AIFULLSTOP CALLSITE	ElapsedMs=312435.700 | Actor=PC_Hero | CurrentAction=11 | CurrentAniPhase=0 | CurrentStateTime=0.028345 | CurrentMovementAni=Hero_Parade_1H_1H_P0_PierceAttack_Raise_N_Fwd_00_%_00_P0_0_F.xmot
111704	111740	COMBATMOVE FULLSTOP STACK	ElapsedMs=312435.825 | Actor=PC_Hero | CurrentAction=11 | CurrentAniPhase=0 | CurrentStateTime=0.028345 | CurrentMovementAni=Hero_Parade_1H_1H_P0_PierceAttack_Raise_N_Fwd_00_%_00_P0_0_F.xmot
111741	111781	AISETSTATE CALLSITE	ElapsedMs=312435.993 | Actor=PC_Hero | CurrentAction=11 | CurrentAniPhase=0 | CurrentStateTime=0.028345 | CurrentMovementAni=Hero_Parade_1H_1H_P0_PierceAttack_Raise_N_Fwd_00_%_00_P0_0_F.xmot
111782	111806	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=312436.035 | Actor=PC_Hero | CurrentAction=11 | CurrentStateTime=0.028345
111807	111841	C1 FINALIZATION	ElapsedMs=312436.059 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=132 | Status=PERSISTED | PhysicalCollisionChanged=0
111842	111866	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=312436.089 | Actor=PC_Hero | CurrentAction=11 | CurrentStateTime=0.000000
111867	111888	C1 LIFECYCLE START	ElapsedMs=312436.988 | Actor=PC_Hero | Generation=133 | Status=CANDIDATE | PhysicalCollisionChanged=0
111889	111902	C1-O2 OUTER BINDING	ElapsedMs=312437.015 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=133 | Status=CANDIDATE | PhysicalCollisionChanged=0
111903	111927	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=312437.025 | Actor=PC_Hero | CurrentAction=4 | CurrentStateTime=0.000000
111928	111952	PRIMARYFIRST StopMotion	ElapsedMs=312437.062
111953	111985	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=312437.086 | Actor=PC_Hero
111986	112010	PRIMARYFIRST PlayMotion	ElapsedMs=312437.085
