StartLine	EndLine	Event	SelectedFields
334676	334715	AISETSTATE CALLSITE	ElapsedMs=788755.106 | Actor=PC_Hero | CurrentAction=29 | CurrentAniPhase=4 | CurrentStateTime=2.021894 | CurrentMovementAni=Hero_LieKnockDown_None_2H_P0_SitKnockDown_Begin_N_Back_00_%_00_P0_0.xmot
334716	334740	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=788755.181 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=2.021894
334741	334763	C1 FINALIZATION	ElapsedMs=788755.207 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=669 | Status=PERSISTED | PhysicalCollisionChanged=0
334764	334788	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=788755.228 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=0.000000
334789	334828	AISETSTATE CALLSITE	ElapsedMs=788755.249 | Actor=PC_Hero | CurrentAction=29 | CurrentAniPhase=4 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_LieKnockDown_None_2H_P0_SitKnockDown_Begin_N_Back_00_%_00_P0_0.xmot
334829	334853	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=788755.288 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=0.000000
334854	334878	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=788755.307 | Actor=PC_Hero | CurrentAction=29 | CurrentStateTime=0.000000
334879	334895	C1 LIFECYCLE START	ElapsedMs=788767.743 | Actor=PC_Hero | Generation=671 | Status=OUTER_BOUND | PhysicalCollisionChanged=0
334896	334911	C1-O2 OUTER BINDING	ElapsedMs=788767.777 | Event=PRECOMBAT_ACQUIRED | Actor=PC_Hero | Generation=671 | Status=OUTER_BOUND | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | PhysicalCollisionChanged=0
334912	334928	C1 OFFENSE REQUEST	ElapsedMs=788767.791 | Actor=PC_Hero | Generation=671 | Status=OUTER_BOUND | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | ActualGroup=7 | PhysicalCollisionChanged=0
334929	334955	ENGINE SetCollisionGroup	ElapsedMs=788767.807 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=4 | PlayerStateTime=0.000000 | PlayerCurrentMovementAni=Hero_LieKnockDown_None_2H_P0_SitKnockDown_Begin_N_Back_00_%_00_P0_0.xmot
334956	334975	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=788767.832 | SourceAddress=E6F50010
334976	335005	OUTER_FRAME OFFENSE	ElapsedMs=788767.989 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | CurrentAction=30 | CurrentStateTime=0.000000
335006	335022	C1-O2 OUTER BINDING	ElapsedMs=788768.023 | Event=PRECOMBAT_BRIDGE_CONSUMED | Actor=PC_Hero | Generation=671 | Status=PERSISTED | PhysicalCollisionChanged=0
335023	335047	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=788768.038 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
335048	335072	PRIMARYFIRST StopMotion	ElapsedMs=788768.076
335073	335105	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=788768.100 | Actor=PC_Hero
335106	335130	PRIMARYFIRST PlayMotion	ElapsedMs=788768.099
335131	335147	C1-O2-P1 DISPATCH RETURN	ElapsedMs=788768.200
335148	335172	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=788804.015 | Actor=NPC_Roddy | CurrentAction=2 | CurrentStateTime=0.595971
335173	335199	ENGINE SetCollisionGroup	ElapsedMs=788804.119 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.039999 | PlayerCurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335200	335216	C1 OFFENSE REQUEST	ElapsedMs=788873.780 | Actor=PC_Hero | Generation=671 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | ActualGroup=7 | PhysicalCollisionChanged=0
335217	335243	ENGINE SetCollisionGroup	ElapsedMs=788873.813 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.105999 | PlayerCurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335244	335263	C1-O2-P1 OFFENSE SCOPE	ElapsedMs=788873.838 | SourceAddress=E6F50010
335264	335293	OUTER_FRAME OFFENSE	ElapsedMs=788873.857 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | RequestedGroup=7 | BeforeGroup=7 | AfterGroup=7 | CurrentAction=30 | CurrentStateTime=0.105999
335294	335320	ENGINE SetCollisionGroup	ElapsedMs=789031.254 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=30 | PlayerAniPhase=1 | PlayerStateTime=0.265972 | PlayerCurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335321	335345	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=789032.545 | Actor=NPC_Roddy | CurrentAction=25 | CurrentStateTime=0.000000
335346	335368	COMBATMOVE STARTRECOVER BEGIN	ElapsedMs=789168.633 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335369	335392	HIT STARTRECOVER BEGIN STACK	ElapsedMs=789168.697 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=1 | CurrentStateTime=0.400977 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335393	335417	PRIMARYFIRST StopMotion	ElapsedMs=789168.750
335418	335444	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=789168.774 | Actor=PC_Hero
335445	335469	PRIMARYFIRST PlayMotion	ElapsedMs=789168.773
335470	335492	COMBATMOVE STARTRECOVER END	ElapsedMs=789168.838 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=3 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335493	335509	C1 CLEANUP FULFILLED	ElapsedMs=789168.890 | Actor=PC_Hero | Generation=671 | Status=PERSISTED | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | ActualGroup=5 | PhysicalCollisionChanged=0
335510	335536	ENGINE SetCollisionGroup	ElapsedMs=789168.904 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | PlayerAction=30 | PlayerAniPhase=3 | PlayerStateTime=0.400977 | PlayerCurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335537	335557	NATIVE CLEANUP CALL SITE	ElapsedMs=789168.922 | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5
335558	335587	OUTER_FRAME CLEANUP	ElapsedMs=789168.945 | Actor=PC_Hero | Source=It_2H_Sword_Flamberge | SourceAddress=E6F50010 | RequestedGroup=5 | BeforeGroup=7 | AfterGroup=5 | CurrentAction=30 | CurrentStateTime=0.400977
335588	335627	AISETSTATE CALLSITE	ElapsedMs=789168.982 | Actor=PC_Hero | CurrentAction=30 | CurrentAniPhase=3 | CurrentStateTime=0.000000 | CurrentMovementAni=Hero_SitKnockDown_None_2H_P0_GetUpAttack_Hit_N_Fwd_00_%_00_P1_100_R.xmot
335628	335652	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=789169.019 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
335653	335675	C1 FINALIZATION	ElapsedMs=789169.038 | Reason=AISETSTATE_AFTER_ORIGINAL | Actor=PC_Hero | Generation=671 | Status=PERSISTED | PhysicalCollisionChanged=0
335676	335700	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=789169.058 | Actor=PC_Hero | CurrentAction=30 | CurrentStateTime=0.000000
335701	335725	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=789388.952 | Actor=NPC_Roddy | CurrentAction=10 | CurrentStateTime=0.000000
335726	335750	MARKER OWNERSHIP DECISION	ElapsedMs=789389.048 | Actor=NPC_Roddy | CurrentMovementAni=Hero_Parade_None_2H_P0_WhirlAttack_Hit_N_Fwd_00_%_00_P0_150_R.xmot
335751	335777	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=789434.072 | Actor=PC_Hero
335778	335802	PRIMARYFIRST PlayMotion	ElapsedMs=789434.071
335803	335842	AISETSTATE CALLSITE	ElapsedMs=789615.177 | Actor=PC_Hero | CurrentAction=0 | CurrentAniPhase=5 | CurrentStateTime=0.432915 | CurrentMovementAni=Hero_Stand_None_2H_P1_Ambient_Loop_N_Fwd_00_%_00_P1_0.xmot
335843	335867	OUTER_FRAME AI_SET_STATE_BEFORE	ElapsedMs=789615.246 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.432915
335868	335892	OUTER_FRAME AI_SET_STATE_AFTER	ElapsedMs=789615.268 | Actor=PC_Hero | CurrentAction=0 | CurrentStateTime=0.000000
335893	335909	C1 LIFECYCLE START	ElapsedMs=789628.760 | Actor=PC_Hero | Generation=674 | Status=CANDIDATE | PhysicalCollisionChanged=0
335910	335923	C1-O2 OUTER BINDING	ElapsedMs=789628.795 | Event=COMBAT_MOVE_CANDIDATE_BOUND | Actor=PC_Hero | Generation=674 | Status=CANDIDATE | PhysicalCollisionChanged=0
335924	335948	OUTER_FRAME COMBAT_MOVE_INITIAL	ElapsedMs=789628.807 | Actor=PC_Hero | CurrentAction=1 | CurrentStateTime=0.000000
335949	335973	PRIMARYFIRST StopMotion	ElapsedMs=789628.850
335974	336006	EMPTY-PRIMARY SUCCESSOR STACK	ElapsedMs=789628.875 | Actor=PC_Hero
336007	336031	PRIMARYFIRST PlayMotion	ElapsedMs=789628.874
336032	336042	C1 LIFECYCLE STATUS	ElapsedMs=789628.971 | Event=PERSISTED | Actor=PC_Hero | Generation=674 | Status=PERSISTED | PhysicalCollisionChanged=0
336043	336067	MARKER OWNERSHIP DECISION	ElapsedMs=789628.988 | Actor=PC_Hero | CurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
336068	336094	ENGINE SetCollisionGroup	ElapsedMs=789637.641 | RequestedGroup=7 | BeforeGroup=5 | AfterGroup=7 | PlayerAction=1 | PlayerAniPhase=1 | PlayerStateTime=0.013000 | PlayerCurrentMovementAni=Hero_Stand_None_2H_P1_Attack_Hit_N_Fwd_00_%_00_P0_90_L.xmot
